scene,stage,total_segments,active_segments,confirmed_segments,tentative_segments,absorbed_segments,matched_segments,ambiguous_segments,ignored_segments,unmatched_segments,reliable_object_matches,unique_gt_instances,fragmented_gt_instances,positive_same_instance_pairs,excess_fragments
office0,initial,138,138,138,0,0,97,38,3,0,28,10,3,70,18
office0,fusion,138,88,88,0,50,63,23,2,0,20,10,2,46,10
office0,filter,138,88,49,39,50,36,11,2,0,18,10,2,29,8
office1,initial,67,67,67,0,0,44,23,0,0,19,13,3,9,6
office1,fusion,67,48,48,0,19,33,15,0,0,14,12,2,2,2
office1,filter,67,48,35,13,19,24,11,0,0,11,11,0,0,0
office2,initial,115,115,115,0,0,75,40,0,0,33,12,5,116,21
office2,fusion,115,80,80,0,35,60,20,0,0,22,12,4,23,10
office2,filter,115,80,57,23,35,43,14,0,0,18,12,3,12,6
office3,initial,189,189,189,0,0,105,84,0,0,21,16,4,6,5
office3,fusion,189,131,131,0,58,76,55,0,0,17,15,2,2,2
office3,filter,189,131,90,41,58,52,38,0,0,13,13,0,0,0
office4,initial,119,119,119,0,0,70,26,12,11,15,12,3,3,3
office4,fusion,119,89,89,0,30,61,18,5,5,12,12,0,0,0
office4,filter,119,89,57,32,30,42,10,2,3,11,11,0,0,0
room0,initial,116,116,116,0,0,81,34,0,1,28,16,6,24,12
room0,fusion,116,84,84,0,32,59,24,0,1,20,16,2,7,4
room0,filter,116,84,69,15,32,46,22,0,1,19,15,2,7,4
room1,initial,81,81,81,0,0,27,52,1,1,4,4,0,0,0
room1,fusion,81,66,66,0,15,25,40,0,1,4,4,0,0,0
room1,filter,81,66,56,10,15,17,38,0,1,3,3,0,0,0
room2,initial,107,107,107,0,0,58,49,0,0,21,16,4,6,5
room2,fusion,107,78,78,0,29,47,31,0,0,21,14,3,17,7
room2,filter,107,78,45,33,29,29,16,0,0,13,12,1,1,1
